FlightID,Airline,DepartureAirport,ArrivalAirport,DepartureDateTime,ArrivalDateTime,Price,AvailableSeats
1,Air India Express,ATQ,STV,2026-01-11 03:12:31,2026-01-11 08:12:31,3925.57,111
2,Air India Express,DED,IXC,2026-12-09 02:51:48,2026-12-09 07:51:48,7257.48,86
3,Akasa Air,AMD,COK,2024-12-10 02:46:51,2024-12-10 04:16:51,10512.22,89
4,Air India,LKO,KUU,2024-10-29 08:36:08,2024-10-29 10:06:08,6372.28,44
5,SpiceJet,ATQ,MAA,2024-06-03 06:26:58,2024-06-03 12:26:58,14497.47,148
6,Air India,STV,VNS,2025-10-23 22:50:10,2025-10-24 02:50:10,9368.13,120
7,Vistara,STV,UDR,2025-09-12 10:00:02,2025-09-12 11:00:02,10469.59,79
8,IndiGo,STV,BOM,2024-04-26 13:25:31,2024-04-26 16:25:31,12708.06,23
9,SpiceJet,ATQ,BHO,2026-02-26 16:50:48,2026-02-26 17:50:48,17017.51,146
10,Akasa Air,UDR,PNQ,2025-10-20 22:01:39,2025-10-21 04:01:39,4659.04,15
11,IndiGo,STV,HYD,2025-12-04 03:04:13,2025-12-04 05:04:13,6238.22,112
12,Vistara,STV,BHO,2026-12-06 22:12:08,2026-12-07 00:12:08,8277.49,72
13,Air India Express,IXC,IDR,2025-11-23 21:46:06,2025-11-23 22:46:06,12483.45,85
14,Vistara,BLR,COK,2024-07-12 20:18:53,2024-07-13 01:18:53,6307.53,168
15,Vistara,ATQ,MAA,2025-11-13 02:58:02,2025-11-13 04:58:02,7256.78,167
16,Vistara,SLV,VNS,2026-03-13 04:41:41,2026-03-13 06:11:41,11310.43,164
17,Akasa Air,COK,MAA,2026-12-14 03:24:09,2026-12-14 08:24:09,8097.8,92
18,Air India,GOI,CCU,2025-03-14 12:26:31,2025-03-14 18:26:31,5892.65,35
19,Go First,MAA,BLR,2025-08-28 03:40:56,2025-08-28 04:40:56,7689.26,158
20,Air India,MAA,ATQ,2026-02-10 05:36:58,2026-02-10 07:36:58,15750.92,159
21,Vistara,CCU,KUU,2026-06-15 01:35:26,2026-06-15 06:35:26,13224.72,60
22,Akasa Air,STV,ATQ,2025-08-06 16:20:41,2025-08-06 18:50:41,6098.45,120
23,Air India Express,PNQ,LKO,2026-06-21 16:48:33,2026-06-21 19:48:33,8424.52,135
24,Air India Express,IDR,CCU,2025-02-12 22:00:54,2025-02-13 00:00:54,6275.05,164
25,Vistara,NAG,LKO,2024-07-29 18:47:01,2024-07-29 20:17:01,3567.16,41
26,IndiGo,JAI,STV,2026-11-17 05:21:53,2026-11-17 10:21:53,17626.54,56
27,SpiceJet,STV,LKO,2024-02-24 15:06:21,2024-02-24 16:06:21,10382.72,60
28,Vistara,IXC,BLR,2026-02-06 08:10:30,2026-02-06 09:10:30,17372.46,166
29,Air India Express,COK,MAA,2024-10-08 01:23:40,2024-10-08 04:23:40,9901.02,35
30,IndiGo,DED,SLV,2026-08-18 16:19:59,2026-08-18 17:19:59,2509.76,55
31,Air India Express,MAA,GAU,2026-12-16 15:24:36,2026-12-16 16:54:36,6896.06,77
32,IndiGo,HYD,BOM,2025-05-03 15:17:07,2025-05-03 21:17:07,4006.98,127
33,Go First,ATQ,GAU,2024-02-03 23:00:31,2024-02-04 01:30:31,4540.3,109
34,Air India,DEL,ATQ,2025-12-23 08:45:31,2025-12-23 13:45:31,13029.25,21
35,SpiceJet,BHO,LKO,2024-05-18 19:09:11,2024-05-18 20:09:11,16435.3,11
36,Vistara,UDR,IXC,2026-02-03 09:14:06,2026-02-03 10:14:06,15052.88,88
37,Air India,AMD,KUU,2024-07-31 21:11:11,2024-08-01 01:11:11,2922.67,139
38,Go First,COK,UDR,2024-12-24 16:54:59,2024-12-24 22:54:59,5171.13,34
39,Air India,BLR,SLV,2026-07-26 01:20:47,2026-07-26 04:20:47,2914.04,51
40,Air India Express,BOM,COK,2025-09-27 18:45:52,2025-09-27 23:45:52,11051.4,64
41,Air India Express,BOM,DED,2025-01-26 10:25:01,2025-01-26 14:25:01,14927.72,167
42,SpiceJet,COK,JAI,2024-09-11 13:23:57,2024-09-11 18:23:57,14315.92,98
43,Air India Express,COK,CCU,2026-10-13 18:06:51,2026-10-13 22:06:51,10664.2,21
44,Akasa Air,KUU,IDR,2024-06-10 15:40:40,2024-06-10 17:40:40,6988.39,26
45,Akasa Air,BLR,COK,2025-08-28 11:09:33,2025-08-28 17:09:33,13897.91,42
46,Go First,SLV,STV,2025-12-20 16:16:46,2025-12-20 17:16:46,16381.61,90
47,IndiGo,ATQ,IDR,2025-07-16 23:16:56,2025-07-17 00:16:56,13140.3,103
48,Air India Express,LKO,BHO,2024-11-23 01:08:01,2024-11-23 03:08:01,12103.44,112
49,Vistara,BOM,MAA,2024-05-17 08:35:32,2024-05-17 12:35:32,8440.53,145
50,Vistara,BOM,ATQ,2024-11-10 16:22:52,2024-11-10 20:22:52,9436.21,19
51,Vistara,DED,MAA,2026-12-20 13:21:36,2026-12-20 18:21:36,12787.84,63
52,Akasa Air,HYD,DEL,2025-01-16 18:10:10,2025-01-16 23:10:10,4119.5,66
53,Go First,SLV,STV,2025-03-15 22:16:39,2025-03-16 01:16:39,17138.61,125
54,Air India,PNQ,HYD,2024-10-04 02:41:46,2024-10-04 08:41:46,16848.47,113
55,Akasa Air,BLR,VNS,2025-10-16 12:38:57,2025-10-16 14:08:57,11037.39,76
56,IndiGo,CCU,SLV,2024-12-22 13:09:41,2024-12-22 15:39:41,18257.66,35
57,SpiceJet,AMD,NAG,2024-02-23 13:08:23,2024-02-23 17:08:23,15299.69,141
58,SpiceJet,MAA,ATQ,2024-06-25 02:23:37,2024-06-25 05:23:37,18493.4,122
59,Air India,BHO,IDR,2026-04-18 20:55:53,2026-04-18 22:25:53,18049.79,164
60,Air India,BLR,STV,2026-08-12 18:50:11,2026-08-12 22:50:11,16510.75,141
61,Akasa Air,UDR,DED,2025-01-07 04:41:52,2025-01-07 09:41:52,17044.61,14
62,Air India,HYD,BHO,2024-11-09 11:04:22,2024-11-09 13:04:22,7459.37,57
63,Air India,LKO,BHO,2025-08-04 02:52:16,2025-08-04 05:52:16,12551.43,141
64,Akasa Air,JAI,MAA,2025-09-12 22:22:14,2025-09-12 23:52:14,12648.1,151
65,Air India Express,DED,MAA,2024-12-16 23:59:01,2024-12-17 03:59:01,17260.05,10
66,Go First,DEL,BLR,2024-04-03 23:21:16,2024-04-04 02:21:16,5636.18,146
67,Go First,IDR,ATQ,2024-03-03 18:07:58,2024-03-03 21:07:58,17793.4,123
68,IndiGo,AMD,VNS,2026-04-11 10:49:45,2026-04-11 16:49:45,13424.4,40
69,Vistara,STV,IDR,2026-09-18 16:54:35,2026-09-18 19:24:35,12088.56,80
70,Air India Express,SLV,COK,2025-12-08 14:31:00,2025-12-08 16:31:00,8239.81,143
71,Vistara,HYD,COK,2025-05-10 16:59:01,2025-05-10 18:29:01,9528.41,36
72,Air India,HYD,BOM,2025-08-17 13:59:11,2025-08-17 18:59:11,17891.78,40
73,SpiceJet,COK,DED,2025-10-02 06:54:41,2025-10-02 08:54:41,18434.3,119
74,SpiceJet,NAG,GOI,2026-10-15 00:50:37,2026-10-15 02:20:37,10438.74,61
75,Vistara,PNQ,DED,2025-12-23 01:46:17,2025-12-23 02:46:17,10266.78,167
76,Air India Express,VNS,NAG,2025-08-08 19:32:25,2025-08-08 20:32:25,3952.2,34
77,IndiGo,JAI,KUU,2026-01-19 14:40:55,2026-01-19 18:40:55,8729.48,145
78,IndiGo,GAU,PNQ,2026-01-12 20:08:32,2026-01-12 23:08:32,8497.49,115
79,Air India,DED,GAU,2025-07-26 22:41:29,2025-07-27 00:11:29,18093.85,100
80,Akasa Air,LKO,COK,2026-01-18 05:15:09,2026-01-18 07:45:09,10498.7,128
81,Air India,BOM,MAA,2025-11-13 17:14:54,2025-11-13 23:14:54,12082.05,131
82,Akasa Air,MAA,COK,2025-10-14 05:54:59,2025-10-14 10:54:59,14250.91,76
83,Go First,DED,COK,2026-11-04 18:33:29,2026-11-05 00:33:29,11375.67,121
84,Akasa Air,DEL,LKO,2025-11-09 03:59:26,2025-11-09 08:59:26,7215.15,176
85,Go First,UDR,DEL,2026-08-29 09:40:03,2026-08-29 12:10:03,3037.09,122
86,IndiGo,CCU,BHO,2026-02-17 05:22:49,2026-02-17 07:52:49,11532.9,179
87,SpiceJet,HYD,PNQ,2024-02-08 16:03:27,2024-02-08 20:03:27,4668.33,176
88,Air India Express,PNQ,IDR,2026-10-24 22:15:47,2026-10-25 04:15:47,16028.55,15
89,Go First,SLV,MAA,2026-11-28 07:32:56,2026-11-28 11:32:56,9997.45,96
90,Akasa Air,COK,CCU,2026-07-30 19:24:38,2026-07-30 23:24:38,7974.88,174
91,Air India,UDR,SLV,2025-06-25 22:12:43,2025-06-26 04:12:43,17804.6,71
92,Go First,GAU,GOI,2025-04-05 10:50:08,2025-04-05 13:50:08,5578.63,180
93,Vistara,NAG,COK,2026-09-09 12:41:58,2026-09-09 15:41:58,4186.55,173
94,Vistara,GAU,IXC,2026-03-19 12:33:57,2026-03-19 14:33:57,2885.68,20
95,Air India,LKO,STV,2025-06-09 17:26:33,2025-06-09 19:56:33,15695.61,69
96,Akasa Air,GAU,SLV,2025-07-10 04:59:52,2025-07-10 06:29:52,14276.52,61
97,IndiGo,AMD,BOM,2026-12-23 08:12:59,2026-12-23 10:42:59,3833.23,84
98,Akasa Air,SLV,NAG,2024-07-24 05:00:18,2024-07-24 06:00:18,18139.94,40
99,Air India Express,IDR,UDR,2026-09-01 17:23:00,2026-09-01 19:53:00,17911.8,82
100,Akasa Air,GOI,UDR,2024-05-01 03:15:25,2024-05-01 05:45:25,14240.59,9
101,Air India Express,CCU,IDR,2024-12-26 01:19:23,2024-12-26 06:19:23,10274.76,74
102,Vistara,BOM,DEL,2025-09-03 20:40:43,2025-09-03 22:10:43,6838.35,164
103,Vistara,GAU,BHO,2026-10-08 04:53:09,2026-10-08 10:53:09,5342.83,28
104,Go First,COK,CCU,2026-07-28 23:36:12,2026-07-29 02:36:12,5235.04,86
105,Air India Express,GOI,DED,2025-01-30 06:23:22,2025-01-30 11:23:22,9171.56,83
106,SpiceJet,BLR,IXC,2024-07-14 06:43:39,2024-07-14 08:43:39,7474.71,63
107,Air India Express,DEL,JAI,2026-02-24 08:34:30,2026-02-24 14:34:30,6552.01,84
108,Go First,GOI,DED,2024-01-24 09:31:22,2024-01-24 13:31:22,6051.73,170
109,Go First,HYD,STV,2025-09-20 05:48:54,2025-09-20 10:48:54,10391.08,180
110,Vistara,DED,GOI,2024-08-28 23:15:17,2024-08-29 02:15:17,12218.39,56
111,SpiceJet,MAA,NAG,2024-11-09 16:33:54,2024-11-09 20:33:54,13641.63,120
112,Akasa Air,DED,GAU,2025-03-23 09:00:35,2025-03-23 10:30:35,9481.99,180
113,Akasa Air,LKO,BLR,2024-08-17 02:14:54,2024-08-17 04:44:54,10947.56,42
114,Go First,COK,BHO,2026-06-23 04:13:55,2026-06-23 06:43:55,11705.31,23
115,Akasa Air,BHO,STV,2024-04-23 16:30:32,2024-04-23 18:30:32,8971.42,144
116,SpiceJet,BOM,GAU,2026-08-04 11:13:12,2026-08-04 12:13:12,6347.65,0
117,Vistara,KUU,PNQ,2024-05-29 01:38:56,2024-05-29 06:38:56,13616.27,138
118,SpiceJet,BOM,BLR,2026-08-24 01:09:19,2026-08-24 04:09:19,5133.7,34
119,SpiceJet,DED,UDR,2026-05-10 13:38:01,2026-05-10 18:38:01,16374.81,96
120,IndiGo,IXC,BLR,2024-09-29 23:47:40,2024-09-30 03:47:40,5109.12,137
121,Air India Express,IXC,BHO,2024-09-17 08:06:28,2024-09-17 09:06:28,2570.59,76
122,Air India Express,STV,VNS,2026-05-18 19:22:01,2026-05-19 00:22:01,5943.52,117
123,IndiGo,LKO,MAA,2025-07-18 06:51:44,2025-07-18 08:21:44,15394.49,107
124,IndiGo,ATQ,DED,2024-02-02 08:45:44,2024-02-02 11:15:44,3844.62,8
125,SpiceJet,STV,ATQ,2024-04-09 08:54:37,2024-04-09 09:54:37,9355.09,138
126,Air India,PNQ,DED,2024-04-25 05:06:07,2024-04-25 08:06:07,15497.32,147
127,Air India,COK,DED,2025-10-18 08:37:31,2025-10-18 11:37:31,18266.84,133
128,Akasa Air,AMD,IDR,2025-09-07 10:01:04,2025-09-07 11:01:04,17660.88,44
129,IndiGo,UDR,VNS,2026-05-24 20:14:16,2026-05-25 02:14:16,18048.33,164
130,SpiceJet,VNS,IXC,2026-12-10 11:36:17,2026-12-10 16:36:17,4632.25,96
131,Vistara,CCU,DED,2026-08-27 08:46:24,2026-08-27 11:16:24,16177.92,36
132,SpiceJet,STV,BOM,2026-04-25 15:09:52,2026-04-25 17:09:52,6158.59,52
133,IndiGo,COK,UDR,2024-06-10 16:22:34,2024-06-10 20:22:34,10930.86,48
134,Air India Express,BOM,JAI,2026-02-11 22:01:34,2026-02-11 23:01:34,3386.38,150
